Class,Metric,3.2,3.3,Delta
GeneralSecurityException,Derived,,,N/A
GeneralSecurityException,Public Methods,,,N/A
GeneralSecurityException,Cyclomatic,,,N/A
GeneralSecurityException,Cohesion,,,N/A
GregorianCalendar,Coupled,,,N/A
GregorianCalendar,Derived,,,N/A
GregorianCalendar,Public Methods,,,N/A
GregorianCalendar,Cyclomatic,,,N/A
GregorianCalendar,Cohesion,,,N/A
HashMap,Coupled,,,N/A
HashMap,Derived,,,N/A
HashMap,Public Methods,,,N/A
HashMap,Cyclomatic,,,N/A
HashMap,Cohesion,,,N/A
HashSet,Coupled,,,N/A
HashSet,Derived,,,N/A
HashSet,Public Methods,,,N/A
HashSet,Cyclomatic,,,N/A
HashSet,Cohesion,,,N/A
IMAP,Coupled,15,15,0
IMAP,Derived,1,1,0
IMAP,Public Methods,0,0,0
IMAP,Cyclomatic,31,31,0
IMAP,Cohesion,82,82,0
IMAPClient,Coupled,6,6,0
IMAPClient,Derived,1,1,0
IMAPClient,Public Methods,0,0,0
IMAPClient,Cyclomatic,34,34,0
IMAPClient,Cohesion,0,0,0
IMAPCommand,Coupled,2,2,0
IMAPCommand,Derived,0,0,0
IMAPCommand,Public Methods,1,1,0
IMAPCommand,Cyclomatic,9,9,0
IMAPCommand,Cohesion,,,N/A
IMAPMail,Coupled,8,8,0
IMAPMail,Derived,0,0,0
IMAPMail,Public Methods,1,1,0
IMAPMail,Cyclomatic,7,7,0
IMAPMail,Cohesion,0,0,0
IMAPReply,Coupled,5,5,0
IMAPReply,Derived,0,0,0
IMAPReply,Public Methods,8,8,0
IMAPReply,Cyclomatic,15,15,0
IMAPReply,Cohesion,0,0,0
IMAPSClient,Coupled,16,16,0
IMAPSClient,Derived,1,1,0
